
Host: d-snes-l-dc-01

Timers On : Mon Sep 24 10:08:11 2018
Timers Off: Mon Sep 24 10:08:19 2018

Wall Time:        7.99 seconds

| | | JK: J1                :      0.033u      0.017s      0.020w     11 calls
| | | JK: J2                :      0.000u      0.000s      0.007w     11 calls
| | JK: K                   :      0.383u      0.000s      0.119w     11 calls
| | | JK: K1                :      0.383u      0.000s      0.105w     11 calls
| | | JK: K2                :      0.000u      0.000s      0.013w     11 calls
| | JK: wK                  :      0.733u      0.050s      0.250w     22 calls
| | | JK: wK1               :      0.700u      0.050s      0.234w     44 calls
| | | JK: wK2               :      0.033u      0.000s      0.015w     22 calls
| JK: AO2USO                :      0.017u      0.000s      0.000w     11 calls
HF: Form F                  :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                    :      0.033u      0.000s      0.009w     11 calls
| DIISManager::add_entry    :      0.017u      0.000s      0.003w     10 calls
| DIISManager::extrapolate  :      0.017u      0.000s      0.004w      9 calls
| | bMatrix setup           :      0.000u      0.000s      0.002w      9 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.001w      9 calls
| | New vector              :      0.017u      0.000s      0.001w      9 calls
HF: Form C                  :      0.050u      0.017s      0.016w     11 calls
HF: Form D                  :      0.017u      0.000s      0.000w     11 calls
Grad: V T Perturb           :      0.167u      0.033s      0.059w      1 calls
Grad: S                     :      0.000u      0.000s      0.001w      1 calls
Grad: JK                    :      4.267u      0.083s      1.306w      1 calls
| JKGrad: Amn               :      0.667u      0.017s      0.205w      1 calls
| JKGrad: Awmn              :      0.567u      0.017s      0.180w      1 calls
| JKGrad: AB                :      0.267u      0.000s      0.080w      1 calls
| JKGrad: UV                :      0.017u      0.017s      0.005w      1 calls
| JKGrad: ABx               :      0.100u      0.017s      0.035w      1 calls
| JKGrad: Amnx              :      2.600u      0.017s      0.788w      1 calls
Grad: XC                    :      1.867u      0.017s      0.559w      1 calls
| Properties                :      0.545p                           1427 calls
| Functional                :      0.124p                           1427 calls
| V_xc gradient             :      0.413p                           1427 calls

***********************************************************

Host: d-snes-l-dc-01

Timers On : Mon Sep 24 10:08:35 2018
Timers Off: Mon Sep 24 10:08:43 2018

Wall Time:        7.49 seconds

V: Grid                     :      0.267u      0.017s      0.172w      1 calls
JK: (A|mn)                  :      0.733u      0.000s      0.223w      1 calls
JK: (A|Q)^-1/2              :      0.250u      0.000s      0.077w      1 calls
JK: (Q|mn)                  :      0.083u      0.000s      0.027w      1 calls
JK: (A|mn)^L                :      0.333u      0.000s      0.098w      1 calls
JK: (A|Q)^-1                :      0.250u      0.000s      0.077w      1 calls
JK: (Q|mn)^L                :      0.083u      0.000s      0.024w      1 calls
JK: (A|mn)^R                :      0.367u      0.000s      0.108w      1 calls
HF: Form H                  :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.001w      1 calls
HF: Guess                   :      0.250u      0.000s      0.074w      1 calls
SAD Guess                   :      0.233u      0.000s      0.072w      1 calls
HF: Form G                  :     11.450u      0.083s      3.450w     10 calls
RV: Form V                  :     10.267u      0.017s      3.082w     10 calls
Properties                  :      3.669p                          15499 calls
Functional                  :      1.353p                          15499 calls
V_xc                        :      1.758p                          14090 calls
JK: D                       :      0.000u      0.000s      0.000w     10 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w     10 calls
JK: JK                      :      1.150u      0.067s      0.365w     10 calls
JK: J                       :      0.067u      0.017s      0.023w     10 calls
JK: J1                      :      0.050u      0.017s      0.017w     10 calls
JK: J2                      :      0.017u      0.000s      0.006w     10 calls
JK: K                       :      0.317u      0.000s      0.107w     10 calls
JK: K1                      :      0.300u      0.000s      0.094w     10 calls
JK: K2                      :      0.017u      0.000s      0.012w     10 calls
JK: wK                      :      0.700u      0.050s      0.221w     20 calls
JK: wK1                     :      0.650u      0.050s      0.207w     40 calls
JK: wK2                     :      0.050u      0.000s      0.014w     20 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w     10 calls
HF: Form F                  :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                    :      0.033u      0.000s      0.008w     10 calls
DIISManager::add_entry      :      0.017u      0.000s      0.002w      9 calls
DIISManager::extrapolate    :      0.017u      0.000s      0.003w      8 calls
bMatrix setup               :      0.017u      0.000s      0.001w      8 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.001w      8 calls
New vector                  :      0.000u      0.000s      0.001w      8 calls
HF: Form C                  :      0.017u      0.000s      0.014w     10 calls
HF: Form D                  :      0.000u      0.000s      0.000w     10 calls
Grad: V T Perturb           :      0.133u      0.033s      0.054w      1 calls
Grad: S                     :      0.000u      0.000s      0.001w      1 calls
Grad: JK                    :      4.150u      0.183s      1.297w      1 calls
JKGrad: Amn                 :      0.633u      0.033s      0.198w      1 calls
JKGrad: Awmn                :      0.517u      0.117s      0.195w      1 calls
JKGrad: AB                  :      0.267u      0.017s      0.086w      1 calls
JKGrad: UV                  :      0.033u      0.000s      0.005w      1 calls
JKGrad: ABx                 :      0.100u      0.000s      0.034w      1 calls
JKGrad: Amnx                :      2.550u      0.017s      0.765w      1 calls
Grad: XC                    :      1.850u      0.000s      0.558w      1 calls
V_xc gradient               :      0.411p                           1409 calls

-----------------------------------------------------------
V: Grid                     :      0.267u      0.017s      0.172w      1 calls
JK: (A|mn)                  :      0.733u      0.000s      0.223w      1 calls
JK: (A|Q)^-1/2              :      0.250u      0.000s      0.077w      1 calls
JK: (Q|mn)                  :      0.083u      0.000s      0.027w      1 calls
JK: (A|mn)^L                :      0.333u      0.000s      0.098w      1 calls
JK: (A|Q)^-1                :      0.250u      0.000s      0.077w      1 calls
JK: (Q|mn)^L                :      0.083u      0.000s      0.024w      1 calls
JK: (A|mn)^R                :      0.367u      0.000s      0.108w      1 calls
HF: Form H                  :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.001w      1 calls
HF: Guess                   :      0.250u      0.000s      0.074w      1 calls
| SAD Guess                 :      0.233u      0.000s      0.072w      1 calls
HF: Form G                  :     11.450u      0.083s      3.450w     10 calls
| RV: Form V                :     10.267u      0.017s      3.082w     10 calls
| | Properties              :      3.123p                          14090 calls
| | Functional              :      1.231p                          14090 calls
| | V_xc                    :      1.758p                          14090 calls
| JK: D                     :      0.000u      0.000s      0.000w     10 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w     10 calls
| JK: JK                    :      1.150u      0.067s      0.365w     10 calls
| | JK: J                   :      0.067u      0.017s      0.023w     10 calls
| | | JK: J1                :      0.050u      0.017s      0.017w     10 calls
| | | JK: J2                :      0.017u      0.000s      0.006w     10 calls
| | JK: K                   :      0.317u      0.000s      0.107w     10 calls
| | | JK: K1                :      0.300u      0.000s      0.094w     10 calls
| | | JK: K2                :      0.017u      0.000s      0.012w     10 calls
| | JK: wK                  :      0.700u      0.050s      0.221w     20 calls
| | | JK: wK1               :      0.650u      0.050s      0.207w     40 calls
| | | JK: wK2               :      0.050u      0.000s      0.014w     20 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w     10 calls
HF: Form F                  :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                    :      0.033u      0.000s      0.008w     10 calls
| DIISManager::add_entry    :      0.017u      0.000s      0.002w      9 calls
| DIISManager::extrapolate  :      0.017u      0.000s      0.003w      8 calls
| | bMatrix setup           :      0.017u      0.000s      0.001w      8 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.001w      8 calls
| | New vector              :      0.000u      0.000s      0.001w      8 calls
HF: Form C                  :      0.017u      0.000s      0.014w     10 calls
HF: Form D                  :      0.000u      0.000s      0.000w     10 calls
Grad: V T Perturb           :      0.133u      0.033s      0.054w      1 calls
Grad: S                     :      0.000u      0.000s      0.001w      1 calls
Grad: JK                    :      4.150u      0.183s      1.297w      1 calls
| JKGrad: Amn               :      0.633u      0.033s      0.198w      1 calls
| JKGrad: Awmn              :      0.517u      0.117s      0.195w      1 calls
| JKGrad: AB                :      0.267u      0.017s      0.086w      1 calls
| JKGrad: UV                :      0.033u      0.000s      0.005w      1 calls
| JKGrad: ABx               :      0.100u      0.000s      0.034w      1 calls
| JKGrad: Amnx              :      2.550u      0.017s      0.765w      1 calls
Grad: XC                    :      1.850u      0.000s      0.558w      1 calls
| Properties                :      0.546p                           1409 calls
| Functional                :      0.122p                           1409 calls
| V_xc gradient             :      0.411p                           1409 calls

***********************************************************

Host: d-snes-l-dc-01

Timers On : Mon Sep 24 10:08:43 2018
Timers Off: Mon Sep 24 10:08:51 2018

Wall Time:        7.84 seconds

V: Grid                     :      0.250u      0.033s      0.171w      1 calls
JK: (A|mn)                  :      0.733u      0.000s      0.220w      1 calls
